college_name,score_type,seat_type,branch,max,min,Max Rank,Min Rank
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OPEN,Information Technology,84.2234647,78.5792977,47328,64261
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OBC,Computer Engineering,82.3797757,80.6275908,52859,58116
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,SC,Computer Engineering,83.4045178,79.1656813,49785,62502
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Information Technology,83.4045178,78.3504176,49785,64947
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,SC,Information Technology,81.9995261,79.4729608,54000,61580
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OBC,Information Technology,80.9298585,80.9298585,57209,57209
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,80.9167266,80.9167266,57249,57249
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Information Technology,80.8718313,80.8718313,57383,57383
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OBC,Information Technology,81.3782643,80.0233531,55864,59929
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OPEN,Information Technology,82.6733861,79.5309168,51979,61406
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electrical Engineering,82.4069575,77.6308856,52778,67106
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Information Technology,85.8567675,77.9458986,42428,66161
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Information Technology,81.6350139,79.4751328,55094,61573
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,SC,Information Technology,80.5501725,80.5501725,58348,58348
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electrical Engineering,90.1338268,62.3954246,29597,112813
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OBC,Computer Engineering,81.5143923,79.5309168,55456,61406
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,82.9381616,78.3496848,51184,64950
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.2493822,77.0666918,50251,68799
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OBC,Information Technology,84.5764555,78.5792977,46269,64261
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,85.6396122,75.7886771,43080,72633
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Information Technology,80.6275908,79.5309168,58116,61406
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,84.1506751,75.6049358,47547,73184
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",MHT-CET,OBC,Computer Engineering,80.0233531,80.0233531,59929,59929
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,ST,Information Technology,80.0233531,80.0233531,59929,59929
"A. P. Shah Institute of Technology, Thane",MHT-CET,OPEN,Computer Engineering,81.9995261,77.1458362,54000,68561
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Information Technology,80.3744535,79.2815054,58875,62154
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,ST,Computer Engineering,80.6330675,79.1656813,58099,62502
"Don Bosco Institute of Technology, Mumbai",MHT-CET,MI,Computer Engineering,96.3074531,68.2985361,11076,95103
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OPEN,Computer Engineering,84.1506751,77.6049916,47547,67184
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Electrical Engineering,89.9502487,72.8974176,30148,81307
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,ST,Information Technology,79.5912465,79.5912465,61225,61225
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,81.984042,77.9458986,54047,66161
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OBC,Information Technology,80.2788844,78.3504176,59162,64947
"New Horizon Institute of Technology & Management, Thane",MHT-CET,SC,Computer Engineering,79.2815054,79.2815054,62154,62154
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Computer Engineering,83.4474115,76.9900203,49656,69029
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.6868736,76.4889836,48938,70532
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Information Technology,79.1656813,79.1656813,62502,62502
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,ST,Information Technology,79.1656813,79.1656813,62502,62502
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OBC,Computer Engineering,79.0746326,79.0746326,62775,62775
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,MI,Computer Engineering,96.2662876,53.7302794,11200,138808
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,ST,Computer Engineering,79.8656107,78.106229,60402,65680
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,SC,Information Technology,80.0233531,77.9458986,59929,66161
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electrical Engineering,93.7594912,74.5106403,18720,76467
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,SC,Computer Engineering,80.6330675,77.6308856,58099,67106
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OPEN,Computer Engineering,83.6868736,74.9700023,48938,75089
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,81.8334533,76.6964455,54498,69909
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,80.0233531,77.6049916,59929,67184
"New Horizon Institute of Technology & Management, Thane",MHT-CET,OBC,Computer Engineering,80.6330675,77.6049916,58099,67184
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,ST,Computer Engineering,87.6060476,72.7060426,37180,81881
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,SC,Computer Engineering,78.482599,78.482599,64551,64551
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",MHT-CET,OPEN,Computer Engineering,78.3504176,78.3496848,64947,64950
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Computer Engineering,79.5912465,76.9900203,61225,69029
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OBC,Information Technology,78.2814198,78.2814198,65154,65154
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,78.106229,78.106229,65680,65680
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,78.106229,78.106229,65680,65680
"New Horizon Institute of Technology & Management, Thane",MHT-CET,OPEN,Computer Engineering,81.7575556,75.4846987,54726,73545
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Computer Engineering,78.482599,77.0311313,64551,68905
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,ST,Computer Engineering,78.0555027,78.0555027,65832,65832
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OPEN,Information Technology,79.5912465,76.9900203,61225,69029
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Information Technology,77.8495773,77.8495773,66450,66450
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Computer Engineering,77.8495773,77.8495773,66450,66450
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,MI,Computer Engineering,93.1886737,61.6697194,20433,114990
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OBC,Information Technology,77.9458986,77.0666918,66161,68799
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OPEN,Computer Engineering,79.4729608,75.4846987,61580,73545
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Information Technology,79.0746326,75.8471965,62775,72457
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",MHT-CET,MI-MH,Information Technology,83.1650789,75.6487214,50503,73053
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",MHT-CET,MI,Information Technology,84.1949276,73.5739966,47414,79277
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,SC,Information Technology,77.0895594,77.0895594,68730,68730
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OPEN,Computer Engineering,77.0895594,77.0895594,68730,68730
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,ST,Computer Engineering,77.0895594,77.0895594,68730,68730
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Information Technology,77.0895594,77.0895594,68730,68730
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",MHT-CET,OPEN,Computer Engineering,82.1909278,72.5765063,53426,82269
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OBC,Computer Engineering,76.9900203,76.9900203,69029,69029
"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",MHT-CET,SC,Information Technology,80.3744535,72.7060426,58875,81881
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,SC,Computer Engineering,76.7344555,76.7344555,69795,69795
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,SC,Information Technology,76.6964455,76.6964455,69909,69909
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Information Technology,77.1458362,75.6487214,68561,73053
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,SC,Information Technology,76.5675144,76.5675144,70296,70296
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,ST,Information Technology,76.5675144,76.5675144,70296,70296
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OBC,Computer Engineering,76.5675144,76.5675144,70296,70296
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OPEN,Information Technology,85.606492,72.8897104,43179,81330
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,77.1458362,75.6487214,68561,73053
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.4797216,70.7220669,49560,87833
"New Horizon Institute of Technology & Management, Thane",MHT-CET,SC,Computer Engineering,76.9900203,75.6049358,69029,73184
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.1650789,70.0988506,50503,89702
"New Horizon Institute of Technology & Management, Thane",MHT-CET,OBC,Computer Engineering,76.2706983,76.2706983,71187,71187
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,SC,Computer Engineering,76.2706983,76.2706983,71187,71187
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,ST,Information Technology,90.398149,48.2193247,28804,155341
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",MHT-CET,OPEN,Computer Engineering,80.8718313,72.8974176,57383,81307
"A. P. Shah Institute of Technology, Thane",MHT-CET,OPEN,Information Technology,80.6330675,70.9370842,58099,87188
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,84.1495823,67.1125395,47550,98661
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,MI,Electronics and Telecommunication Engg,88.1374722,66.0248119,35586,101924
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Information Technology,79.0746326,72.9031949,62775,81289
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,75.8471965,75.8471965,72457,72457
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Information Technology,75.7886771,75.7886771,72633,72633
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,87.6520385,65.2657662,37043,104202
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.4797216,70.7220669,49560,87833
"Don Bosco Institute of Technology, Mumbai",MHT-CET,MI,Electronics and Telecommunication Engg,75.6487214,75.6487214,73053,73053
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,SC,Information Technology,75.6487214,75.6487214,73053,73053
"New Horizon Institute of Technology & Management, Thane",MHT-CET,ST,Computer Engineering,75.6049358,75.6049358,73184,73184
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,83.6868736,70.7220669,48938,87833
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,SC,Information Technology,75.5619344,75.5619344,73313,73313
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,SC,Computer Engineering,75.5619344,75.5619344,73313,73313
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,80.8718313,67.7143135,57383,96856
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Information Technology,75.3508645,75.3508645,73946,73946
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,84.6390824,67.4824177,46081,97552
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,SC,Electronics and Telecommunication Engg,82.424443,61.4673542,52725,115597
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Computer Engineering,77.0895594,73.2440997,68730,80266
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,79.5947693,68.7024004,61214,93892
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,MI-MH,Electronics and Telecommunication Engg,83.1650789,66.5894149,50503,100231
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OBC,Information Technology,75.8471965,74.0962113,72457,77710
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Computer Engineering,75.182198,74.9700023,74452,75089
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,81.3782643,66.5894149,55864,100231
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,SC,Information Technology,74.9700023,74.9700023,75089,75089
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,74.9700023,74.9700023,75089,75089
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OPEN,Information Technology,76.4889836,72.5765063,70532,82269
"Don Bosco Institute of Technology, Mumbai",MHT-CET,MI-MH,Electronics and Telecommunication Engg,82.3877908,70.8665527,52835,87399
"Ideal Institute of Technology, Wada, Dist.Thane",MHT-CET,OPEN,Computer Engineering,74.745321,74.745321,75763,75763
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,ST,Information Technology,74.745321,74.745321,75763,75763
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,82.59776,67.4824177,52205,97552
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,78.3504176,70.7220669,64947,87833
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,74.5211181,74.5211181,76435,76435
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OBC,Information Technology,74.5211181,74.5211181,76435,76435
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OBC,Computer Engineering,74.5211181,74.5211181,76435,76435
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,SC,Computer Engineering,74.2260244,74.2260244,77321,77321
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,OPEN,Information Technology,74.2012741,74.2012741,77395,77395
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",MHT-CET,SC,Computer Engineering,74.1161376,74.1161376,77650,77650
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OBC,Information Technology,74.1161376,74.1161376,77650,77650
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,ST,Information Technology,74.1161376,74.1161376,77650,77650
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,85.2528023,49.556541,44240,151329
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,SC,Computer Engineering,73.4437245,73.4437245,79668,79668
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,84.9850573,52.8246408,45043,141525
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",MHT-CET,OPEN,Computer Engineering,75.5619344,69.1685966,73313,92493
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",MHT-CET,OPEN,Computer Engineering,80.0233531,69.6045087,59929,91185
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,SC,Computer Engineering,74.9700023,70.0988506,75089,89702
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,SC,Computer Engineering,72.5765063,72.5765063,82269,82269
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OPEN,Computer Engineering,75.67388,69.0394836,72977,92880
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,MI-MH,Electronics and Telecommunication Engg,79.4729608,66.2395008,61580,101280
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,MI-MH,Electronics and Telecommunication Engg,80.3744535,65.2400587,58875,104279
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OBC,Information Technology,71.9798416,71.9798416,84059,84059
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",MHT-CET,OBC,Computer Engineering,71.9798416,71.9798416,84059,84059
"Ideal Institute of Technology, Wada, Dist.Thane",MHT-CET,OPEN,Computer Engineering,83.2493822,67.1125395,50251,98661
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,77.0666918,65.7244332,68799,102826
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OBC,Computer Engineering,71.7637042,71.7637042,84708,84708
"Bharat College of Engineering, Kanhor, Badlapur(W)",MHT-CET,OPEN,Computer Engineering,76.9900203,64.4979119,69029,106505
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",MHT-CET,OPEN,Information Technology,74.0962113,69.5290454,77710,91412
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,SC,Information Technology,71.4470469,71.4470469,85658,85658
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,71.4470469,71.4470469,85658,85658
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,71.4470469,71.4470469,85658,85658
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,ST,Computer Engineering,71.2367422,71.2367422,86289,86289
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,71.2367422,71.2367422,86289,86289
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",MHT-CET,OPEN,Computer Engineering,74.9700023,67.447284,75089,97657
"New Horizon Institute of Technology & Management, Thane",MHT-CET,OBC,Computer Engineering,71.197687,71.197687,86406,86406
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Computer Engineering,71.197687,71.197687,86406,86406
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Information Technology,71.1253958,71.1253958,86623,86623
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OBC,Computer Engineering,70.9263207,70.9263207,87220,87220
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",MHT-CET,ST,Computer Engineering,70.9263207,70.9263207,87220,87220
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Computer Engineering,70.7220669,70.7220669,87833,87833
"Kalyani Charitable Trust , Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road , Nashik",MHT-CET,OPEN,Computer Engineering,75.7886771,67.9791157,72633,96061
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,79.5309168,64.7353734,61406,105793
"Kalyani Charitable Trust , Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road , Nashik",MHT-CET,OPEN,Computer Engineering,71.9798416,69.3404295,84059,91978
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,ST,Information Technology,85.9566804,39.4196471,42129,181740
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OPEN,Information Technology,79.4729608,65.2657662,61580,104202
"Bharat College of Engineering, Kanhor, Badlapur(W)",MHT-CET,OPEN,Computer Engineering,86.1713847,60.5043241,41484,118486
"Kalyani Charitable Trust , Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road , Nashik",MHT-CET,OPEN,Computer Engineering,80.2788844,66.4465439,59162,100659
"New Horizon Institute of Technology & Management, Thane",MHT-CET,SC,Computer Engineering,70.2135829,70.2135829,89358,89358
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Computer Engineering,70.0988506,70.0988506,89702,89702
"Kalyani Charitable Trust , Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road , Nashik",MHT-CET,OPEN,Computer Engineering,72.4718017,67.7143135,82583,96856
"Ideal Institute of Technology, Wada, Dist.Thane",MHT-CET,ST,Computer Engineering,69.6045087,69.6045087,91185,91185
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Information Technology,69.5290454,69.5290454,91412,91412
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,69.5290454,69.5290454,91412,91412
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,69.5290454,69.5290454,91412,91412
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,69.5290454,69.5290454,91412,91412
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OBC,Computer Engineering,71.9798416,66.8137813,84059,99557
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,70.8665527,67.447284,87399,97657
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,82.6733861,59.5292331,51979,121411
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,SC,Information Technology,74.364085,64.0075195,76907,107976
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,77.0895594,63.050238,68730,110848
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",MHT-CET,OBC,Information Technology,69.0394836,69.0394836,92880,92880
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OPEN,Information Technology,69.0394836,69.0394836,92880,92880
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,75.6049358,64.4979119,73184,106505
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,70.0988506,67.1125395,89702,98661
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",MHT-CET,OPEN,Information Technology,69.5290454,67.7143135,91412,96856
"Ideal Institute of Technology, Wada, Dist.Thane",MHT-CET,OPEN,Computer Engineering,72.8897104,65.2657662,81330,104202
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,74.1161376,64.4979119,77650,106505
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,SC,Information Technology,68.5714285,68.5714285,94285,94285
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,81.7575556,52.2301039,54726,143309
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",MHT-CET,SC,Computer Engineering,68.3772406,68.3772406,94867,94867
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",MHT-CET,OBC,Computer Engineering,70.9263207,66.2395008,87220,101280
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",MHT-CET,OBC,Computer Engineering,68.2985361,68.2985361,95103,95103
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,68.2985361,68.2985361,95103,95103
