college_name,score_type,seat_type,branch,max,min,Max Rank,Min Rank
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Electrical Engineering,98.156244,96.0282477,5530,11914
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,MI,Information Technology,98.7115006,96.3841754,3864,10846
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Information Technology,97.769552,96.8434161,6690,9468
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Information Technology,97.4790321,96.9378449,7561,9185
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,98.1349658,96.472706,5594,10580
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,97.1309732,97.1309732,8606,8606
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,98.9880315,96.3221336,3034,11032
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Computer Engineering,97.8178368,96.6086872,6545,10172
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,SC,Computer Engineering,97.2807517,96.7092973,8156,9871
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,OPEN,Computer Engineering,97.7392044,96.1081543,6781,11674
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,97.2111553,96.6633489,8365,10008
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Computer Engineering,97.7713362,96.1736745,6685,11478
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OPEN,Computer Engineering,98.3058086,96.3024228,5081,11091
